Job Titles,Company Names,Experience Required,Package,Locations,Skills
Manager - Digital Product Analytics [Data Science],Resy,4-8 Yrs,Not disclosed,Gurgaon/Gurugram,Product managementCareer developmentOperations researchData modelingAnalyticalRelationship buildingMachine learningSQL
Data Science Domain Manager,Coursera,7-11 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Computer scienceContent strategyData analysisUsagedata scienceArtificial IntelligenceMachine learningData analytics
GN - Strategy - MC - T&O - NLP Data Science - Analyst,Accenture,1-3 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",Change managementSASCodingData miningPythonRstatistic techniquesDebugging
Data Science Manager,Foreign IT Consulting MNC,2-6 Yrs,Not disclosed,Gurgaon/Gurugram,Operations researchSASFinanceProject managementAnalyticalData processingmicrosoftEconometrics
Data Science Manager,Foreign IT Consulting MNC,3-6 Yrs,Not disclosed,Noida,Data analysisEDCRisk assessmentrisk modelingMachine learningData processingmodel developmentFinancial services
,,6-10 Yrs,Not disclosed,"Gurgaon/ Gurugram, Haryana",Advanced Statistical AnalysisData Governance and Quality AssuranceMachine Learning and AIData Analysis and VisualizationManagementQuality assuranceArtificial IntelligenceData Visualization
,,8-10 Yrs,Not disclosed,Hyderabad/Secunderabad,Statistical programmingData analysisAutomationAnalyticalMachine learningAgileOpen sourceSQL
,,12-15 Yrs,Not disclosed,"Hybrid - Noida, Uttar Pradesh",NLPData SciencePredictive ModelingTeam ManagementPower BiAdvanced AnalyticsStatistical ModelingETL
"Analyst- Data Science (Python, Microsoft Power Apps)",AMERICAN EXPRESS,3-6 Yrs,Not disclosed,Gurgaon/Gurugram,Operations researchSASFinanceProject managementAnalyticalData processingmicrosoftEconometrics
Data Science - Senior Data Scientist,Paytm,1-4 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",Data Sciencedata analyticsSASData miningPythonRNLPMachine learning
Advance Analytical and Data Sciences -Manager,G R Infraprojects,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Supply chainOperations researchNoSQLdata sciencecassandraMachine learningMATLABSQL
Senior Analyst Data Science,Pepsi Foods,2-4 Yrs,Not disclosed,Faridabad,Cloud computingStatistical modelingExceldata scienceMachine learningcloud storagedigital transformationAnalytics
